chi,s5_iq,s5_ci,s5_gorunur,s20_iq,s20_ci,s20_gorunur,s40_iq,s40_ci,s40_gorunur,s60_iq,s60_ci,s60_gorunur,s100_iq,s100_ci,s100_gorunur
400,81.1,23.1,hayir,65.0,15.7,evet,59.1,12.0,evet,56.7,10.1,evet,55,8.0,evet
500,83.4,23.1,hayir,69.1,15.7,evet,63.9,12.0,evet,61.8,10.1,evet,59.9,8.0,evet
600,85.6,23.1,hayir,73.2,15.7,evet,68.8,12.0,evet,66.9,10.1,evet,65.3,8.0,evet
700,87.8,23.1,hayir,77.3,15.7,evet,73.6,12.0,evet,72.0,10.1,evet,70.6,8.0,evet
800,90.0,23.1,hayir,81.5,15.7,evet,78.4,12.0,evet,77.1,10.1,evet,76.0,8.0,evet
900,92.2,23.1,hayir,85.6,15.7,evet,83.2,12.0,evet,82.2,10.1,evet,81.3,8.0,evet
1000,94.5,23.1,hayir,89.7,15.7,evet,88.0,12.0,evet,87.3,10.1,evet,86.6,8.0,evet
1100,96.7,23.1,hayir,93.8,15.7,evet,92.8,12.0,evet,92.4,10.1,evet,92.0,8.0,evet
1200,98.9,23.1,hayir,97.9,15.7,evet,97.6,12.0,evet,97.5,10.1,evet,97.3,8.0,evet
1300,101.1,23.1,hayir,102.1,15.7,evet,102.4,12.0,evet,102.5,10.1,evet,102.7,8.0,evet
1400,103.3,23.1,hayir,106.2,15.7,evet,107.2,12.0,evet,107.6,10.1,evet,108.0,8.0,evet
1500,105.5,23.1,hayir,110.3,15.7,evet,112.0,12.0,evet,112.7,10.1,evet,113.4,8.0,evet
1600,107.8,23.1,hayir,114.4,15.7,evet,116.8,12.0,evet,117.8,10.1,evet,118.7,8.0,evet
1700,110.0,23.1,hayir,118.5,15.7,evet,121.6,12.0,evet,122.9,10.1,evet,124.0,8.0,evet
1800,112.2,23.1,hayir,122.7,15.7,evet,126.4,12.0,evet,128.0,10.1,evet,129.4,8.0,evet
1900,114.4,23.1,hayir,126.8,15.7,evet,131.2,12.0,evet,133.1,10.1,evet,134.7,8.0,evet
2000,116.6,23.1,hayir,130.9,15.7,evet,136.1,12.0,evet,138.2,10.1,evet,140.1,8.0,evet
2100,118.9,23.1,hayir,135.0,15.7,evet,140.9,12.0,evet,143.3,10.1,evet,145,8.0,evet
2200,121.1,23.1,hayir,139.1,15.7,evet,145,12.0,evet,145,10.1,evet,145,8.0,evet
2300,123.3,23.1,hayir,143.3,15.7,evet,145,12.0,evet,145,10.1,evet,145,8.0,evet
2400,125.5,23.1,hayir,145,15.7,evet,145,12.0,evet,145,10.1,evet,145,8.0,evet
