profil,oturum,seviye,speed,logic,memory,pattern,chi,iq,ci,guvenilirlik,denge
acemi,1,1,980,972,983,984,980,,27.7,0.111,0.98
acemi,2,2,968,947,989,975,970,,26.3,0.2,0.928
acemi,3,3,956,926,975,971,957,,25.1,0.273,0.915
acemi,4,4,948,908,990,967,953,,24.0,0.333,0.862
acemi,5,4,940,895,986,955,944,,23.1,0.385,0.844
acemi,6,5,940,882,981,963,941,,22.2,0.429,0.831
acemi,7,6,940,872,990,967,942,,21.5,0.467,0.8
acemi,8,7,939,863,1003,965,942,,20.8,0.5,0.768
acemi,9,8,945,857,1007,968,943,,20.2,0.529,0.752
acemi,10,8,944,851,1009,968,942,,19.6,0.556,0.741
acemi,11,9,946,846,1012,972,943,,19.1,0.579,0.73
acemi,12,10,952,843,1026,971,947,,18.6,0.6,0.708
acemi,13,10,953,840,1024,974,947,,18.1,0.619,0.705
acemi,14,11,956,837,1029,985,950,,17.7,0.636,0.695
acemi,15,12,965,836,1040,990,956,,17.3,0.652,0.681
acemi,16,13,972,834,1050,991,960,,17.0,0.667,0.667
acemi,17,14,981,832,1066,997,967,,16.6,0.68,0.649
acemi,18,15,989,831,1072,1003,972,,16.3,0.692,0.641
acemi,19,16,996,830,1091,1005,978,,16.0,0.704,0.622
acemi,20,16,998,829,1095,1012,981,88.9,15.7,0.714,0.617
acemi,21,17,1004,828,1099,1020,985,88.9,15.4,0.724,0.613
acemi,22,18,1014,828,1116,1024,992,89.1,15.2,0.733,0.597
acemi,23,18,1016,827,1121,1030,995,89.1,14.9,0.742,0.592
acemi,24,18,1018,826,1126,1037,998,89.1,14.7,0.75,0.588
acemi,25,18,1022,826,1131,1044,1002,89.2,14.5,0.758,0.583
acemi,26,18,1025,825,1136,1048,1005,89.2,14.3,0.765,0.578
acemi,27,18,1027,825,1138,1048,1006,89.1,14.1,0.771,0.576
acemi,28,19,1033,824,1144,1056,1010,89.3,13.9,0.778,0.57
acemi,29,20,1037,826,1155,1061,1016,89.4,13.7,0.784,0.565
acemi,30,20,1039,826,1157,1063,1017,89.4,13.5,0.789,0.562
acemi,31,21,1044,825,1161,1073,1022,89.5,13.3,0.795,0.559
acemi,32,22,1052,826,1167,1080,1027,89.7,13.1,0.8,0.555
acemi,33,23,1059,825,1179,1088,1033,89.9,13.0,0.805,0.546
