seviye,rutbe_tr,rutbe_en,tas,uclu,katman,yuz_cesidi,tepsi,dagilim,par_sure_sn,ipucu,geri_al,elo,zorluk_0_100
1,Çırak,Apprentice,36,12,2,14,8,1,114,4,3,845,16.5
2,Çırak,Apprentice,39,13,2,15,8,1,123,4,3,888,17.8
3,Çırak,Apprentice,42,14,2,16,8,1,132,4,3,931,19.0
4,Çırak,Apprentice,45,15,2,16,8,2,140,4,3,972,21.5
5,Çırak,Apprentice,48,16,2,17,8,2,149,4,3,1013,22.7
6,Çırak,Apprentice,51,17,2,18,8,2,157,4,3,1052,24.0
7,Çırak,Apprentice,54,18,2,18,7,3,165,4,3,1090,26.4
8,Çırak,Apprentice,54,18,2,18,7,3,164,4,3,1127,26.5
9,Çırak,Apprentice,57,19,3,19,7,3,172,4,3,1164,34.5
10,Çırak,Apprentice,60,20,3,19,7,3,180,4,3,1199,35.3
11,Çırak,Apprentice,63,21,3,20,7,3,188,4,3,1233,36.6
12,Çırak,Apprentice,63,21,3,20,7,3,187,4,3,1267,36.7
13,Çırak,Apprentice,66,22,3,21,7,3,194,4,3,1300,38.0
14,Çırak,Apprentice,66,22,3,21,7,3,193,4,3,1331,38.1
15,Çırak,Apprentice,69,23,3,21,7,3,201,4,3,1362,38.9
16,Öğrenci,Student,72,24,3,22,7,3,208,4,3,1392,40.2
17,Öğrenci,Student,72,24,3,22,7,3,207,4,3,1422,40.3
18,Öğrenci,Student,75,25,3,22,7,3,214,4,3,1450,41.2
19,Öğrenci,Student,75,25,3,22,7,3,213,4,3,1478,41.3
20,Öğrenci,Student,78,26,3,23,7,4,221,4,3,1506,44.0
21,Öğrenci,Student,78,26,3,23,7,4,219,4,3,1532,44.2
22,Öğrenci,Student,81,27,3,24,7,4,226,4,3,1558,45.5
23,Öğrenci,Student,81,27,3,24,7,4,225,4,3,1583,45.6
24,Öğrenci,Student,81,27,3,24,7,4,224,4,3,1607,45.6
25,Öğrenci,Student,84,28,3,24,7,4,231,4,3,1631,46.5
26,Öğrenci,Student,84,28,3,24,7,4,230,4,3,1654,46.5
27,Öğrenci,Student,87,29,4,25,7,4,237,4,3,1677,54.5
28,Öğrenci,Student,87,29,4,25,7,4,235,3,3,1699,54.6
29,Öğrenci,Student,87,29,4,25,7,4,234,3,3,1720,54.7
30,Öğrenci,Student,90,30,4,26,7,4,241,3,3,1741,55.9
31,Öğrenci,Student,90,30,4,26,7,4,240,3,3,1762,56.0
32,Öğrenci,Student,90,30,4,26,7,4,238,3,3,1781,56.2
33,Öğrenci,Student,90,30,4,26,7,4,237,3,3,1801,56.2
34,Öğrenci,Student,93,31,4,26,7,5,244,3,3,1819,58.6
35,Öğrenci,Student,93,31,4,26,7,5,243,3,2,1838,58.6
36,Bükücü,Bender,93,31,4,26,7,5,242,3,2,1856,58.7
37,Bükücü,Bender,93,31,4,26,7,5,240,3,2,1873,58.9
38,Bükücü,Bender,96,32,4,27,7,5,247,3,2,1890,60.1
39,Bükücü,Bender,96,32,4,27,7,5,246,3,2,1906,60.1
40,Bükücü,Bender,96,32,4,27,7,5,245,3,2,1922,60.2
41,Bükücü,Bender,96,32,4,27,7,5,243,3,2,1938,60.3
42,Bükücü,Bender,96,32,4,27,7,5,242,3,2,1953,60.4
43,Bükücü,Bender,99,33,4,27,7,5,249,3,2,1968,61.2
44,Bükücü,Bender,99,33,4,27,7,5,248,3,2,1982,61.2
45,Bükücü,Bender,99,33,4,27,7,5,246,3,2,1997,61.4
46,Bükücü,Bender,99,33,4,27,7,5,245,3,2,2010,61.4
47,Bükücü,Bender,99,33,4,27,7,6,244,3,2,2024,63.1
48,Bükücü,Bender,99,33,4,27,7,6,243,3,2,2037,63.1
49,Bükücü,Bender,102,34,4,28,7,6,249,3,2,2049,64.4
50,Bükücü,Bender,102,34,4,28,7,6,248,3,2,2062,64.4
51,Bükücü,Bender,102,34,4,28,7,6,247,3,2,2074,64.5
52,Bükücü,Bender,102,34,4,28,7,6,246,3,2,2085,64.6
53,Bükücü,Bender,102,34,4,28,7,6,245,3,2,2097,64.6
54,Bükücü,Bender,102,34,4,28,7,6,244,3,2,2108,64.7
55,Bükücü,Bender,102,34,4,28,7,6,243,3,2,2119,64.8
56,Bükücü,Bender,102,34,4,28,7,6,242,2,2,2129,64.8
57,Bükücü,Bender,105,35,4,29,7,6,248,2,2,2139,66.1
58,Bükücü,Bender,105,35,4,29,7,6,247,2,2,2149,66.1
59,Bükücü,Bender,105,35,4,29,7,6,246,2,2,2159,66.2
60,Bükücü,Bender,105,35,4,29,7,6,245,2,2,2169,66.3
61,Usta,Master,105,35,5,29,7,7,244,2,2,2178,74.6
62,Usta,Master,105,35,5,29,7,7,243,2,2,2187,74.6
63,Usta,Master,105,35,5,29,7,7,243,2,2,2196,74.6
64,Usta,Master,105,35,5,29,7,7,242,2,2,2204,74.7
65,Usta,Master,105,35,5,29,7,7,241,2,2,2212,74.8
66,Usta,Master,105,35,5,29,7,7,240,2,2,2221,74.8
67,Usta,Master,105,35,5,29,7,7,239,2,2,2228,74.9
68,Usta,Master,105,35,5,29,7,7,238,2,2,2236,75.0
69,Usta,Master,108,36,5,29,7,7,244,2,2,2244,75.7
70,Usta,Master,108,36,5,29,7,7,243,2,1,2251,75.8
71,Usta,Master,108,36,5,29,7,7,242,2,1,2258,75.8
72,Usta,Master,108,36,5,29,7,7,242,2,1,2265,75.8
73,Usta,Master,108,36,5,29,7,7,241,2,1,2272,75.9
74,Usta,Master,108,36,5,29,7,8,240,2,1,2278,77.5
75,Usta,Master,108,36,5,29,7,8,239,2,1,2285,77.6
76,Usta,Master,108,36,5,29,7,8,238,2,1,2291,77.6
77,Usta,Master,108,36,5,29,7,8,238,2,1,2297,77.6
78,Usta,Master,108,36,5,29,7,8,237,2,1,2303,77.7
79,Usta,Master,108,36,5,29,7,8,236,2,1,2308,77.8
80,Usta,Master,108,36,5,29,7,8,235,2,1,2314,77.8
81,Usta,Master,108,36,5,29,7,8,235,2,1,2320,77.8
82,Usta,Master,108,36,5,29,7,8,234,2,1,2325,77.9
83,Usta,Master,108,36,5,29,7,8,233,2,1,2330,78.0
84,Usta,Master,108,36,5,29,7,8,232,1,1,2335,78.0
85,Usta,Master,108,36,5,29,7,8,232,1,1,2340,78.0
86,Büyük Usta,Grandmaster,108,36,5,29,7,8,231,1,1,2345,78.1
87,Büyük Usta,Grandmaster,108,36,5,29,7,9,230,1,1,2349,79.7
88,Büyük Usta,Grandmaster,108,36,5,29,7,9,230,1,1,2354,79.7
89,Büyük Usta,Grandmaster,108,36,5,29,7,9,229,1,1,2358,79.8
90,Büyük Usta,Grandmaster,108,36,5,29,7,9,228,1,1,2363,79.8
91,Büyük Usta,Grandmaster,108,36,5,29,7,9,228,1,1,2367,79.8
92,Büyük Usta,Grandmaster,108,36,5,29,7,9,227,1,1,2371,79.9
93,Büyük Usta,Grandmaster,108,36,5,29,7,9,227,1,1,2375,79.9
94,Büyük Usta,Grandmaster,108,36,5,29,7,9,226,1,1,2379,80.0
95,Büyük Usta,Grandmaster,111,37,5,30,7,9,232,1,1,2383,81.1
96,Büyük Usta,Grandmaster,111,37,5,30,7,9,231,1,1,2386,81.2
97,Büyük Usta,Grandmaster,111,37,5,30,7,9,230,1,1,2390,81.3
98,Büyük Usta,Grandmaster,111,37,5,30,7,9,230,1,1,2393,81.3
99,Büyük Usta,Grandmaster,111,37,5,30,7,9,229,1,1,2397,81.3
100,Element Avatarı,Element Avatar,111,37,5,30,7,9,229,1,1,2400,81.3
