seviye,tur,tas,yuz,tepsi,dagilim,sure_carpani,par_sure,cozulebilirlik
101,1,111,31,7,9,0.955,219,
102,2,111,32,7,9,0.91,208,
103,3,111,33,7,9,0.865,198,
104,4,111,34,7,9,0.82,188,
105,5,111,35,6,9,0.775,177,1.0
106,6,111,36,6,9,0.73,167,
107,7,111,37,6,9,0.685,157,
108,8,111,38,6,9,0.64,147,
109,9,111,39,6,9,0.595,136,
110,10,111,40,6,9,0.55,126,
111,11,111,40,6,9,0.55,126,
112,12,111,40,5,9,0.55,126,1.0
113,13,111,40,5,10,0.55,126,
114,14,111,40,5,10,0.55,126,
115,15,111,40,5,10,0.55,126,
116,16,111,40,5,10,0.55,126,
117,17,111,40,5,10,0.55,126,
118,18,111,40,5,11,0.55,126,
119,19,111,40,5,11,0.55,126,
120,20,111,40,5,11,0.55,126,0.98
121,21,111,40,5,11,0.55,126,
122,22,111,40,5,11,0.55,126,
123,23,111,40,5,12,0.55,126,
124,24,111,40,5,12,0.55,126,
125,25,111,40,5,12,0.55,126,
126,26,111,40,5,12,0.55,126,
127,27,111,40,5,12,0.55,126,
128,28,111,40,5,12,0.55,126,
129,29,111,40,5,12,0.55,126,
130,30,111,40,5,12,0.55,126,
131,31,111,40,5,12,0.55,126,
132,32,111,40,5,12,0.55,126,
133,33,111,40,5,12,0.55,126,
134,34,111,40,5,12,0.55,126,
135,35,111,40,5,12,0.55,126,
136,36,111,40,5,12,0.55,126,
137,37,111,40,5,12,0.55,126,
138,38,111,40,5,12,0.55,126,
139,39,111,40,5,12,0.55,126,
140,40,111,40,5,12,0.55,126,0.99
141,41,111,40,5,12,0.55,126,
142,42,111,40,5,12,0.55,126,
143,43,111,40,5,12,0.55,126,
144,44,111,40,5,12,0.55,126,
145,45,111,40,5,12,0.55,126,
146,46,111,40,5,12,0.55,126,
147,47,111,40,5,12,0.55,126,
148,48,111,40,5,12,0.55,126,
149,49,111,40,5,12,0.55,126,
150,50,111,40,5,12,0.55,126,
151,51,111,40,5,12,0.55,126,
152,52,111,40,5,12,0.55,126,
153,53,111,40,5,12,0.55,126,
154,54,111,40,5,12,0.55,126,
155,55,111,40,5,12,0.55,126,
156,56,111,40,5,12,0.55,126,
157,57,111,40,5,12,0.55,126,
158,58,111,40,5,12,0.55,126,
159,59,111,40,5,12,0.55,126,
160,60,111,40,5,12,0.55,126,
